points,value,error
947, 0.5100, -0.0135
948, 0.5359, 0.0124
949, 0.5205, -0.0030
950, 0.5137, -0.0098
951, 0.5310, 0.0075
952, 0.5399, 0.0164
953, 0.5383, 0.0148
954, 0.5105, -0.0130
955, 0.5267, 0.0032
956, 0.5220, -0.0015
957, 0.5402, 0.0167
958, 0.5261, 0.0026
959, 0.5203, -0.0032
960, 0.5354, 0.0119
961, 0.5234, -0.0001
962, 0.5395, 0.0160
963, 0.4881, -0.0354
964, 0.5488, 0.0253
965, 0.5202, -0.0033
966, 0.5000, -0.0235
967, 0.5181, -0.0054
968, 0.5134, -0.0101
969, 0.5005, -0.0230
970, 0.5186, -0.0049
971, 0.5242, 0.0007
972, 0.5586, 0.0351
973, 0.5118, -0.0117
974, 0.5267, 0.0032
975, 0.5210, -0.0025
976, 0.5164, -0.0071
977, 0.5394, 0.0159
978, 0.5378, 0.0143
979, 0.5649, 0.0414
980, 0.5316, 0.0081
981, 0.5474, 0.0239
982, 0.5265, 0.0030
983, 0.5575, 0.0340
984, 0.5234, -0.0001
985, 0.5289, 0.0054
986, 0.5781, 0.0546
987, 0.5035, -0.0200
988, 0.5121, -0.0114
989, 0.5258, 0.0023
990, 0.5212, -0.0023
991, 0.5045, -0.0190
992, 0.5292, 0.0057
993, 0.5176, -0.0059
994, 0.5563, 0.0328
995, 0.5387, 0.0152
996, 0.5261, 0.0026
997, 0.5115, -0.0120
998, 0.5311, 0.0076
999, 0.5325, 0.0090
1000, 0.5160, -0.0075
1001, 0.5305, 0.0070
1002, 0.5329, 0.0094
1003, 0.5145, -0.0090
1004, 0.5209, -0.0026
1005, 0.5204, -0.0031
1006, 0.5288, 0.0053
1007, 0.5243, 0.0008
1008, 0.5020, -0.0215
1009, 0.5154, -0.0081
1010, 0.5317, 0.0082
1011, 0.5420, 0.0185
1012, 0.5346, 0.0111
1013, 0.5192, -0.0043
1014, 0.5611, 0.0376
1015, 0.5251, 0.0016
1016, 0.5354, 0.0119
1017, 0.5339, 0.0104
1018, 0.5442, 0.0207
1019, 0.5064, -0.0171
1020, 0.5000, -0.0235
1021, 0.5230, -0.0005
1022, 0.5391, 0.0156
1023, 0.5230, -0.0005
1024, 0.5156, -0.0079
1025, 0.5346, 0.0111
1026, 0.5224, -0.0011
1027, 0.5209, -0.0026
1028, 0.5214, -0.0021
1029, 0.5228, -0.0007
1030, 0.5417, 0.0182
1031, 0.5403, 0.0168
1032, 0.5068, -0.0167
1033, 0.5169, -0.0066
1034, 0.5426, 0.0191
1035, 0.5034, -0.0201
1036, 0.5357, 0.0122
1037, 0.5207, -0.0028
1038, 0.5164, -0.0071
1039, 0.5149, -0.0086
1040, 0.5106, -0.0129
1041, 0.5024, -0.0211
1042, 0.5365, 0.0130
1043, 0.5417, 0.0182
